,,,,,,
,,PDI,PDII,Senior PD,Staff PD,Sr Staff PD
,,"Executes assigned work with guidance, following direction reliably while building foundational skills and understanding.","Works with growing independence on defined problems, seeking guidance when needed to ensure quality and alignment.","Operates with high independence and deep expertise, owning complex problem areas and serving as a subject-matter expert.","Leads through influence, shaping direction and outcomes across teams by applying expertise at broader scope.","Oversees, plans, and executes the largest, most visible projects and establishes objectives and goals for their org. Influences experience at the company level."
,,,,,,
"PRODUCT DIRECTION AND OWNERSHIP

How we think and deliver","Customer and Business Centricity

Combining user insights with business goals and technical understanding to shape product direction.","Builds awareness of product goals, user needs, and business context. Develops foundational technical fluency by learning how the product works and understanding our users’ workflows. Participates in planning, user research, and design discussions to ensure their work aligns with team priorities. Applies early user insights from research to guide straightforward design decisions.",Strengthens technical understanding to better interpret constraints and opportunities. Connects design decisions and work to user insights from research. Contributes to defining success metrics and advocates for user needs during planning and prioritization. Uses user insights to align stakeholders.,Builds a strong understanding of the technical landscape to anticipate downstream implications of design choices. Translates product requirements and research insights into clear direction and success metrics for the team. Breaks complex problems into well-scoped designs and supports planning for a feature or small initiative. Partners with product and engineering leads to define OKRs and shape the product roadmap.,"Shapes product strategy within a broader domain by synthesizing user research, data, technical constraints, and business goals. Acts as a force multiplier—driving clarity, alignment, and a user-centered approach across teams. Elevates cross functional decision making by framing opportunities, risks, and strategic directions grounded in user understanding. Influences roadmaps and OKRs that span multiple products or teams.","Defines and drives long-term product direction across multiple teams or platforms. Partners with senior cross functional leaders to align vision and strategy that moves the organization forward. Uses design-led thinking to shape org-level priorities, frameworks, and processes. Leads through influence and example by establishing patterns of strategic thinking adopted across the design and product organizations."
,"Visioning

Creating a compelling future vision, clarifying ambiguity, aligning partners, and working backward to shape near-term focus.",Participates in visioning by exploring ideas and simple concept mocks with guidance. Begins learning how future-state explorations help clarify ambiguous spaces and open paths for problem solving. Contributes to discussions about how experiences might evolve or fit together with direction from senior partners.,"Begins forming a point of view about future directions and explores ideal-state concepts on projects to spark discussion. Uses these explorations to clarify possibilities, uncover gaps, and understand how direction could evolve. Contributes meaningfully to vision artifacts and seeks guidance when the team lacks clarity.","Independently explores future-state experiences for their product and uses these concepts to influence partners, shape problem definition, and guide near-term direction. Creates compelling artifacts—such as prototypes, mocks, narratives, or frameworks—that clarify how things fit together and inspire alignment. Works backward from visions to define realistic sequencing, milestones, and tradeoffs.","Sets the standard for future-state exploration within their domain and creates vision artifacts that align multiple teams around a shared direction. Synthesizes complex, ambiguous problems into coherent future narratives that clarify what great should look like across surfaces and workflows. Uses vision systems to structure multi-quarter direction, ensuring near-term work contributes meaningfully to a more holistic, long-term experience.","Shapes org-level future direction by defining cohesive, scalable product visions that span teams and product lines. Establishes frameworks that help teams explore ideal states effectively, connect them to organizational planning, and maintain alignment around a shared future state. Uses compelling storytelling, data, and design principles to influence executives and guide decisions for their product areas. Mentors others in developing future-state thinking and raising the bar for vision work across the company."
,"Scope Ownership

Owning increasingly complex work with accountability and growing independence across broader scopes and responsibilities","Works effectively within well-defined problem spaces and needs clear requirements and guidance to deliver work. Takes responsibility for completing assigned design tasks, seeking help when blocked and following through on commitments. Builds awareness of how their work fits into the broader product scope and how that scope is shaped by constraints, goals, and user needs.","Handles moderately ambiguous problems with guidance and breaks down clear goals into actionable design tasks. Works independently on defined problems and sees them through to completion, maintaining design intent through delivery. Proactively communicates progress, flags risks, and seeks clarity when scope or context shifts.","Independently owns end-to-end delivery for complex features or product areas. Anticipates dependencies and risks, clarifies ambiguity for the team, and ensures design work is planned and delivered effectively. Balances short-term delivery with long-term quality and aligns stakeholders to ensure successful outcomes.","Owns and structures large, interconnected problem spaces that span multiple teams or products. Identifies and drives improvements beyond immediate scope and ensures continuity of direction and execution across teams from concept through launch. Guides prioritization and alignment across cross-functional partners.","Operates with organizational-level ownership, shaping how large, multi-team initiatives are defined, aligned, and delivered. Anticipates gaps and proactively drives alignment, improvement, and accountability across the company. Shapes how others take ownership through example, systems, and leadership influence."
,,,,,,
"CRAFT AND EXECUTION

How we design","Design Foundations

Applying Datadog’s design principles and craft across visual, interaction, information architecture, and content design pillars to create clear, scalable experiences.","Learns and applies core Datadog design principles with guidance, using DRUIDS components and styles correctly for common cases. Explores multiple visual directions while maintaining clear hierarchy, spacing, alignment, and emerging IA and content fundamentals. Designs increasingly reflect consistency across surfaces, with senior peers helping identify foundational issues and opportunities to adapt or refine patterns. Begins recognizing essential interaction behaviors and incorporates basic states and flow clarity with support.","Applies Datadog design principles and DRUIDS with growing independence. Makes informed decisions about hierarchy, spacing, terminology, content structure, and interaction patterns while spotting and correcting foundational issues early. Explores a range of visual and interaction options and articulates tradeoffs, using industry patterns to guide solutions and recognizing when refinement or deviation is needed. Demonstrates a developing understanding of where the system can flex across visuals, behaviors, and structural patterns.","Shows strong command of Datadog’s design principles by producing consistently high-quality visual, structural, and interaction work guided by clear tenets. Balances clarity, density, and complexity through well-structured layouts, thoughtful content choices, and robust interaction details that hold up across states, contexts, and varied data conditions. Uses DRUIDS effectively, identifying gaps and proposing refinements across visuals, patterns, and behaviors. Elevates team craft through feedback and modeling strong foundational design thinking.","Evolves Datadog design principles at scale by shaping patterns, interaction models, layouts, and content structures that influence multiple products and teams. Uses sound judgment to when to extend DRUIDS or introduce new patterns, crafting scalable, reusable solutions across visual and interaction domains. Ensures clarity and consistency across complex flows and dense surfaces, accounting for edge cases with precision. Guides teams in strengthening foundational craft and partners with the design systems team to uphold and evolve shared standards.","Defines and advances the org’s design foundations by establishing principles, frameworks, and patterns that scale product-wide and shape long term direction. Anticipates emerging needs across visual design, interaction behaviors, IA, and content standards, evolving DRUIDS accordingly and providing clear direction for foundational improvements. Introduces standards that raise structural clarity, coherence, and cross-product consistency. Elevates craft across teams through influence, guidance, and system-level thinking beyond immediate product areas."
,"Design Execution

Delivering quality experiences from concept through shipped design.","Translates requirements into simple, clear concepts and explores multiple directions. Builds prototypes that illustrate core use cases and seeks support when addressing edge cases or choosing fidelity. Uses prototyping tools for efficiency and early exploration.",Demonstrates growing mastery of product complexity and delivers intuitive solutions covering primary and common edge cases. Produces artifacts and prototypes to create appropriate fidelity to support testing and alignment.,"Delivers high quality, comprehensive work that strengthens team craft and raises expectations for rigor. Builds high-fidelity, realistic prototypes using prototyping tools to explore complex scenarios, validate solutions, and support confident decision making.","Executes complex work with rigor, producing realistic prototypes that guide engineering and facilitate stakeholder decision-making. Anticipates constraints and ensures solutions scale across surfaces, catching unseen issues and edge cases early. Introduces workflows or reusable approaches that strengthen execution across teams. Uses advanced prototyping to improve product quality and accelerate velocity and validation.","Sets the standard for design execution across the organization and shapes how teams explore, prototype, and ship design work. Operates with a cross-product perspective to identify platform opportunities and advance capabilities. Champions workflows that materially elevate quality and velocity. Establishes organizational practices that preserve design intent in shipped experiences."
,,,,,,
"COMMUNICATION AND COLLABORATION

How we partner, influence and align","Communication 

Communicating with clarity and purpose, using storytelling to share context, influence decisions, and build confidence across audiences.",Communicates clearly about their design work with guidance. Seeks feedback proactively and adjusts based on input. Learns to tailor communication to peers and immediate partners.,"Communicates independently within and across teams. Frames design rationale and progress clearly in reviews, documentation, and async channels. Adjusts communication style to different audiences. Uses storytelling to explain context, shape decisions, and ensure shared understanding.","Communicates proactively across teams to drive clarity and alignment, including design effort and timelines. Bridges disciplines by speaking in the language of each function to ensure ideas land effectively. Uses clear, compelling storytelling to frame problems and influence product decisions. Anticipates communication needs and addresses them early.","Crafts clear narratives that connect design direction to strategy, customer insights and outcomes. Communicates effectively with leadership and cross-functional peers to guide decision-making and build confidence in direction. Models strong communication patterns for others.","Shapes organizational narratives and communication standards. Translates complex initiatives into clear, inspiring stories that align leaders and teams around shared goals. Coaches others in effective communication and storytelling."
